f_name,a_name,title,lyrics
angry_all/Ex-Girlfriend.mp3,No Doubt,Ex-Girlfriend,"I kinda always knew I'd end up your ex-girlfriend, whoa I kinda always knew I'd end up your ex-girlfriend   I kinda always knew I'd end up your ex-girlfriend  I hope I hold a special place with the rest of them  And you know it makes me sick to be on that list  But I should have thought of that before we kissed   You say you're gonna burn before you mellow  I will be the one to burn you  Why'd you have to go and pick me?  We knew that we were different, completely   I kinda always knew I'd end up your ex-girlfriend, whoa I kinda always knew I'd end up your ex-girlfriend, whoa  I hope I hold a special place with the rest of them, whoa  I kinda always knew I'd end up your ex-girlfriend   And I'm another ex-girlfriend on your list  But I should have thought of that before we kissed   Your wildness scares me, so does your freedom  You say you can't stand the restrictions  I find myself trying to change you  If you were meant to be my lover I wouldn't have to   And I feel so mean, I feel in between  ‘Cause I'm about to give you away   I kinda always knew I'd end up your ex-girlfriend  (For someone else to take)  I kinda always knew I'd end up your ex-girlfriend  (Am I making a mistake?)  I hope I hold a special place with the rest of them  (All the time we've wasted)  I kinda always knew I'd end up your ex-girl... friend   And I'm another ex-girlfriend on your list  But I should have thought of that before we kissed  I'm another ex-girlfriend on your list  But I should have thought of that before we kissed   I'm about to give you away  For someone else to take  I'm about to give you away  For someone else to take   We keep repeating mistakes for souvenirs  And we've been in between the days for years  And I know that when I see you, I'm going to die  I know I'm going to want you and you know why  It's going to kill me to see you with the next girl  ‘Cause I'm the most gorgeously jealous kind of ex-girl   (But I should have thought of that before we kissed) I kinda always knew I'd end up your ex-girlfriend, whoa  I kinda always knew I'd end up your ex-girlfriend, whoa  I hope I hold a special place with the rest of them (All the time we've wasted)  I kinda always knew I'd end up your ex-girl friend   And I'm another ex-girlfriend on your list  But I should have thought of that before we kissed  I'm another ex-girlfriend on your list  But I should have thought of that before we kissed"
angry_all/Excuse Me Mr..mp3,Ben Harper,Excuse Me Mr.,"Excuse me Mr., do you have the time? Or are you so important that it stands still for you? Excuse me Mr., won't you lend me your ear? Or are you not only blind but do you not hear? Excuse me Mr. but isn't that your oil in the sea? And the pollution in the air, Mr., whose could that be?  So excuse me Mr., but, I'm a Mr. too And you're giving Mr. a bad name, Mr. like you Now I'm taking the Mr. from out in front of your name 'Cause it's a Mr. like you that puts the rest of us to shame It's a Mr. like you putting the rest of us to shame  I've seen enough, Oh I have seen enough I've seen enough to know I have seen too much  Excuse me Mr. can't you see the children dying? You say that you can't help them Mr., you're not even trying Excuse me Mr., won't you take a look around Oh Mr., just look up and you will, you will see what's coming down  Excuse me Mr. but I'm a, I'm a Mr. too You're giving Mr. a bad name, Mr. like you Now I'm taking the Mr. from out in front of your name 'Cause it's the Mr. like you that puts the rest of us to shame It's a Mr. like you putting the rest of us to shame  And I have, I've seen enough, I've seen and I've seen and I've seen enough to know that I have seen too much I've seen enough, Oh I have seen enough, to know I have seen too much  See, 'cause Mr., when you're rattling on heaven's gate By then it is too late 'Cause Mr., when you get there they don't ask what you saved All they'll wanna know, Mr., is what you gave  So excuse me Mr., but I'm a Mr. too And you're giving Mr. a bad name Mr. like... you The Mr. from out in front of your name 'Cause it's the Mr., Mr. like you that puts the rest of us to shame It's the Mr. like you putting the rest of us to shame (Oh, oh, oh, oh) (Oh, oh, oh, oh) Lord it's a shame, oh it's a shame, shame, shame, shame... Oh, oh, ah"
"angry_all/Fail Hill Zone, Act 1.mp3",Monomate,"Fail Hill Zone, Act 1",
angry_all/Forever More (Fkek Dub Mix).mp3,Moloko,Forever More (Fkek Dub Mix),"And if I drown in this sea of devotion Just a stone left unturned My need is deep, wide endless oceans Feel it furious, the fire burns on  Let there be love, everlasting And it will live eternally Will we receive without ever asking? I'm just curious  Gotta find me somebody But there's nobody To love me And it's driving me crazy There's nobody, to love me (Oh, baby)  Somebody tell me How could there be nobody Nobody to love me And this life is so empty There's nobody, to love me  Endless tears, forever joy To feel most every feeling, forever more  Endless tears, forever joy To feel most every feeling, forever more  Endless tears, forever joy To feel most every feeling, forever more  Endless tears, forever joy To feel most every feeling, forever more  And if I drown in this sea of devotion Just a stone left unturned My need is deep, wide endless oceans Feel it furious, the fire burns on  Let there be love, everlasting And it will live eternally Will we receive without ever asking? I'm just curious  Don't want you to see me crying Just want you to see me flying I need to get so high and Want somebody to blow my mind  Don't want you to see me crying Just want you to see me flying I need to get so high and Why don't you blow my mind? Blow my mind Blow my mind  Got to find me somebody But there's nobody To love me Anybody could love me  And it's driving me crazy There's nobody to love me Anybody could love me  Somebody to hold my hand Someone who understands Somebody to help me write The poetry of life Someone to love me Someone who loves me (Oh, baby)  Endless tears, forever joy To feel most every feeling, forever more  Endless tears, forever joy To feel most every feeling, forever more  Endless tears, forever joy To feel most every feeling, forever more  Endless tears, forever joy To feel most every feeling, forever more  (Endless tears, forever joy To feel most every feeling, forever more)  Gotta find me somebody But there's nobody To love me  (Endless tears, forever joy To feel most every feeling, forever more)  And it's driving me crazy There's nobody to love me  (Endless tears, forever joy To feel most every feeling, forever more)  (Endless tears, forever joy To feel most every feeling, forever more)  To feel most every feeling To feel most every feeling To feel most every feeling To feel most every feeling To feel most every feeling  To feel most every feeling  To feel most every feeling To feel most every feeling To feel most every feeling"
angry_all/Friend (Album Version).mp3,Coal Chamber,Friend ,"Living a lie, let's not pretend That you like me, or we are friends We can call it for the few that are listening, Tonight we'll divide the dream  Cut the loss - Feel no pain You can fuck the fame (x2) For the ones that are listening...  All this time that I called you friend I won't be there for you again (repeat)  Your future's bleak - You better save your skin It's that flesh you smell - It's that skin you're in Your soul is rotting, as well as your inners Your mind and teeth, they're getting thinner  Selfish, self-sustaining - Regrets, unmistaking Fuck the fame - You can fuck the fame For the ones that are listening...  Sleep well - Sleep tight You know this song is about you, don't you?"
angry_all/Friendster Is Sooo Two Months Ago.mp3,Machinemade God,Friendster Is Sooo Two Months,
angry_all/Gary Gilmore's Eyes.mp3,The Adverts,Gary Gilmore's Eyes,Gary Gilmore's eyes  I'm lying in the hospital Pinned against a bed A stethoscope upon my heart A hand against my head  They're peeling off the bandages I'm wincing in the light The nurse is looking anxious And she's quivering with fright  I'm looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes  The doctors are avoiding me My vision is confused I listen to my earphones And I catch the evening news  A murderer's been killed And he donates his sight to science I'm locked into a private ward I realise that I must be  Looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes  Looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes  I smash the light in anger Push my bed against the door I close my lids across the eyes And wish to see no more  The eye receives the messages And sends 'em to the brain No guarantee the stimuli must be perceived the same When looking through Gary Gilmore's eyes  Looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes Looking through Gary Gilmore's eyes  Gary don't need his eyes to see Gary and his eyes have parted company
angry_all/Get Gone.mp3,Fiona Apple,Get Gone,"How many times Do I have to say To get away- get gone  Flip your shit past another lass's Humble dwelling  You got your game, made your shot And you got away with a lot, but I'm not Turned on  So put away that meat you're selling 'Cause I do know what's good for me And I've done what I could for you But you're not benefiting And yet I'm sitting Singing again Sing, sing again  How can I deal with this If he won't get with this? Am I gonna heal from this? He won't admit to it Nothing to figure out I gotta get him out It's time the truth goes out That he don't give a shit about me  'Cause I do know what's good for me And I've done what I could for you But you're not benefiting And yet I'm sitting Singing again Sing, sing again  How can I deal with this If he won't get with this? Am I gonna heal from this? He won't admit to it Nothing to figure out I gotta get him out It's time the truth goes out That he don't give a shit about me  How many times can it escalate Till it elevates to a place I can't breathe?  And I must decide If you must deride That I'm much obliged To up and go  I'll idealize and realize That it's no sacrifice, because the price is paid And there's nothing left to grieve  Fuckin' go 'Cause I've done what I could for you And I do know what's good for me And I'm not benefiting Instead I'm sitting Singing again, singing again, singing again Sing, sing, sing again  How can I deal with this If he won't get with this? Am I gonna heal from this? He won't admit to it Nothing to figure out I gotta get him out It's time the truth goes out That he don't give a shit about me  How can I deal with this If he won't get with this? Am I gonna heal from this? He won't admit to it Nothing to figure out I gotta get him out It's time the truth goes out That he don't give a shit about me"
angry_all/Getting Away With Murder.mp3,Papa Roach,Getting Away With Murder,"Somewhere beyond happiness and sadness  I need to calculate what creates my own madness  And I'm addicted to your punishment  And you're the master and I am waiting for disaster   I feel irrational, so confrontational  To tell the truth I am getting away with murder  It is impossible to never tell the truth  But the reality is I'm getting away with murder   (Getting away, getting away, getting away)  I drink my drink and I don't even want to  I think my thoughts when I don't even need to  I never look back 'cause I don't even want to  And I don't need to because I'm getting away with murder   I feel irrational, so confrontational  To tell the truth I am getting away with murder  It is impossible to never tell the truth  But the reality is I'm getting away with murder   (Getting away, getting away, getting away) (Getting away, getting away, getting away) (Getting away, getting away, getting away with murder)   Somewhere beyond happiness and sadness  I need to calculate what creates my own madness  And I'm addicted to your punishment  And you're the master and I am craving this disaster   I feel irrational, so confrontational  To tell the truth I am getting away with murder  It is impossible to never tell the truth  But the reality is I'm getting away with murder   (Getting away, getting away, getting away)  I feel irrational, so confrontational  To tell the truth I am getting away with murder  It is impossible to never tell the truth  But the reality is I'm getting away with murder"
angry_all/Go To Hell.mp3,Megadeth,Go To Hell,"Now I lay me down to sleep I pray the lord my soul to keep If I should die (just) before I wake I pray the lord my soul to take  I'm not going to wake up today They've pulled my plug, the picture fades And as my body decays Mold begins to fill my grave The smell of death permeates The silk within my coffin lays  Go to hell!  As they bury me now Six feet, there my body lies Still feel like I'm going down I hear a distant wailing cry God, something must have gone wrong! Much too late, I realize  Go to hell!  I saw my funeral that day I know who didn't show to mourn My judgment was life in hell Pillars of pain and thorns My only friends the goat With 666 between his horns  Go to hell!  Place all your trust here in me Rest assured these things I know And as Charon sails the sea Your journey, too shallow below Ah yes! You're all sitting ducks It's true - you reap what you sow  Go to hell!  Now I lay me down to sleep Blah blah blah, my soul to keep If I die before I wake I'll go to hell for heaven's sake!"
angry_all/Goin' Down.mp3,Melanie C,Goin' Down,"How come I didn't see You were making fun of me How dare you change the rules You made me look a fool  Well now you're gonna see The last laugh's not on on me What am I gonna do To get my revenge on you  You're goin' down, goin' down  Was it just another lie Or did I just breathe a sigh What else can I do I was so into you  With all this bad luck I've had My karma must be bad You've played your little games Oh what a shame  You're goin' down, goin' down. Goin' down  I'm singing it loud and I don't care I'm singing it proud everywhere    I feel no remorse My life is back on course From this little hitch I have become a super-bitch  But don't be afraid By that confession I've made I am not a whore I have gone hardcore  You're goin' down, goin' down Goin' down, goin' down...  I'm singing it loud and I don't care I'm singing it proud everywhere  I'm singing it loud and I don't care I'm singing it proud everywhere  Ha - ha - ha  You're goin' down, goin' down You're goin' down, goin' down  Ha - yeah"
angry_all/Grotesquery conceiled (within measureless magic).mp3,Dimmu Borgir,Grotesquery conceiled,
angry_all/Hardly Wait.mp3,PJ Harvey,Hardly Wait,"I can hardly wait I can hardly wait I can hardly wait I can hardly wait  It's been so long I've lost my taste Say angel come Say lick my face Let fall your drapes I'll play the part I'll open this mouth wide Eat your heart  I can hardly wait I can hardly wait I can hardly wait I can hardly wait  Lips cracked dry Tongue blue burst Say angel come Say lick my thirst It's been so long I've lost my taste Here romeo Make my water break  In my glass coffin, I'm waiting In my glass coffin, I'm waiting In my glass coffin, I'm waiting In my glass coffin, I'm waiting In my glass coffin, I'm waiting In my glass coffin, I'm waiting In my glass coffin"
angry_all/Hate me !.mp3,Children Of Bodom,Hate me,
angry_all/Heaven Tonight.mp3,Hole,Heaven Tonight,"Here comes the sun in the form of a girl She's the finest sweetest thing in the world Take you to heaven tonight I feel the horses coming galloping In the summer rain Take you to heaven tonight 'Cause I love you for what you are  I'll gallop to you, tonight, tonight We'll ride, I'll give it to you We'll go to heaven tonight Tonight  Out on the winding road I couldn't wait Oh baby, I was afraid Headed for heaven tonight I'll go to heaven tonight I feel the horses coming, galloping I will never grow old I'll go to heaven tonight Because I love you for what you are  I'll gallop to you, tonight, tonight We'll ride, I'll bow down to you We're going to heaven tonight Tonight  I can't believe that I could be happy Someone will come again I could be happy Oh, stop your crying You can be happy Go to heaven when you make me happy  Here comes the kiss that I never had Nothing feels like this Headed for heaven tonight I love you  Here comes a storm in the form of a girl She's the finest, sweetest thing in the world I'll go to heaven tonight for what you are  I'll gallop to you, tonight, tonight We'll ride, I'll bow down to you We'll go to heaven tonight Tonight Tonight Tonight Take it tonight Take it tonight Take me tonight Tonight Tonight"
angry_all/Hello.mp3,Courtney Love,Hello,"Shut up I'm about to take All your innocence for free In the end you're gonna wanna pay me Shut up I'm about to tell you how I won the war Won't tell you what or how or when And in the end you'll never ever ever Ask what for (Hellohellohello) Are you talking to me? Shut up I'm about to tell you 'bout the difference you'll never make And win the war with no regrets No hurt, no pain, no shame Shut up I'm about to tell you some secrets you'll never know Now don't ask what, don't move, don't cry Don't even ask where this is going I don't know  (Hellohellohello) Are you talking to me? hey hey (Hellohellohello) Are you talking to me? (Hellohellohello)  What's the matter, my baby's dead His heart went blind on me My dress caught fire From 1 match that you gave me And all that's left is your bill and The breath I got Yeah I won't sit in your misery 'cause the phonecall's gone and no one's comin' No one's comin' no one's comin' No one's coming for you (Hellohellohello) My dress is on fire (Hellohellohello) It's burning down (Hellohellohello) I got no desires No one no one But you leave this taste in your ring around the rosy yeah Addicted to all that shit Pocketfil of mistakes Taxes and romances When it all burns down Dive dive dive dive Baby fire baby fire baby FIRE!"
angry_all/Here's Where The Story Ends.mp3,The Sundays,Here's Where The Story Ends,"People I know, places I go Make me feel tongue-tied I can see how people look down They're on the inside  Here's where the story ends  People I see, weary of me Showing my good side I could see how people look down I'm on the outside  Here's where the story ends Oh, here's where the story ends  It's that little souvenir of a terrible year Which makes my eyes feel sore Oh, I never should have said the books that you read Were all I loved you for  It's that little souvenir of a terrible year Which makes me wonder why And it's the memories that you've shed that make me turn red Surprise, surprise, surprise  Crazy I know, places I go Make me feel so tired I can see how people look down I'm on the outside  And here's where the story ends Oh, here's where the story ends  It's that little souvenir of a terrible year Which makes my eyes feel sore And whoever would've thought the books you brought Were all I loved you for  Oh, the devil in me said, “Go down to the shed” I know where I belong But the only thing I ever really wanted to say Was wrong, was wrong, was wrong  It's that little souvenir of a colorful year Which makes me smile inside So I cynically, cynically say the world is that way Surprise, surprise, surprise, surprise, surprise  Here's where the story ends Oh, here's where the story ends"
angry_all/Holiday In Cambodia.mp3,Dead Kennedys,Holiday In Cambodia,"So you've been to school for a year or two And you know you've seen it all In daddy's car thinking you'll go far Back east your type don't crawl  Play ethnicky jazz to parade your snazz On your five-grand stereo Bragging that you know how the niggers feel cold And the slum's got so much soul  It's time to taste what you most fear Right Guard will not help you here Brace yourself, my dear Brace yourself, my dear  It's a holiday in Cambodia It's tough, kid, but it's life It's a holiday in Cambodia Don't forget to pack a wife  You're a Star-Belly Sneetch, you suck like a leech You want everyone to act like you Kiss ass while you bitch, so you can get rich But your boss gets richer off you  Well, you'll work harder with a gun in your back For a bowl of rice a day Slave for soldiers till you starve Then your head is skewered on a stake  Now you can go where people are one Now you can go where they get things done What you need, my son What you need, my son  Is a holiday in Cambodia Where people dress in black Need a holiday in Cambodia Where you'll kiss ass or crack  Pol Pot, Pol Pot Pol Pot, Pol Pot Pol Pot, Pol Pot Pol Pot, Pol Pot  It's a holiday in Cambodia Where you'll do what you're told Holiday in Cambodia Where the slum's got so much soul  Pol Pot"
angry_all/Horses In My Dreams.mp3,PJ Harvey,Horses In My Dreams,"Horses in my dreams Like waves, like the sea They pull out of here They pull, they are free  Rode a horse 'round the world Along the tracks of a train Broke the record, found the gold Set myself free again  I have pulled myself clear I have pulled myself clear I have pulled myself clear silent I have pulled myself clear  Horses in my dreams Like waves, like the sea On the tracks of a train Set myself free again  I have pulled myself clear I have pulled myself clear I have pulled myself clear silent I have pulled myself clear"
angry_all/I Am Me.mp3,Ashlee Simpson,I Am Me,"What's she got that I don't have? Does she fill those spaces that I left you? When you wake up every night, Does the scent of regret ever haunt you?  Put this under your skin, 'Cause I am me and I won't change for anyone, (But) me, and I won't change for anyone Yeah, for anyone like you  Does the weight of consequence Drag you down until it pulls you under? And does she lend an eager hand to save you From the future of being with her? But, are you with her?  Put this under her skin, 'Cause I am me and I won't change for anyone (But) me and I won't change for anyone Yeah, for anyone like you  Why would I, why would I change? Why would I change?  Put this under your skin, 'Cause I am me and I won't change for anyone (But) me, and I won't change, I won't change!  What's she got that I don't have? What's she got that I don't have?  Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa!"
angry_all/I Get Along.mp3,The Libertines,I Get Along,"You caught me in the middle dazed on the carpet I was following the lines that move like more snakes thinking ""Something ain't quite right"" You got the devil on your side standing to your right, come on  You caught me in the middle dazed and confused I was following the good steps fancy free and footlose ""Something ain't quite right"" You got the devil on your side standing to your right, come on, oh, come on  I get along, I get along I get along, I get along Get along  It's coming out my ears so baby, here's what we'll do Four for you and nine for him and six for them and let me see Well, now something ain't quite right You can get them on your side, then we'll have a good time, come on  I get along, I get along I get along, I get along Get along  I get along just singing my song: People tell me I'm wrong Fuck 'em  It's coming out my ears so baby, here's what we'll do Four for you and nine for him and six for them and let me see Now something ain't quite right You got the devil on your side standing to your right, come on  I get along, I get along I get along, I get along  And when I do I'm singing Get along, get along, get along Get along, get along, get along Get along, get along, get along Get along, get along, get along"
angry_all/I Was A Lid.mp3,Manchester Orchestra,I Was A Lid,"I was a lid on a house we barely speak of Folded again I could see myself inside And I was amazed how a god could know my first name And you amazed at the difference in my speech 2, 3, 4  So what of your words did I know you would deceive me And what better in for a calmness in my side So I made a way from a ? godspeed And what a debate do you still know my full name  And I was the one that decided to light you on fire And you were a tree with a root that was wrapped in my brain So build me a sign make me know that you speak of a body Oh do do you plead do do you plead do do you plead please  I had a thought I did your house up faking causes And I needn't a word I am the saddest version yet So what is the price I pay to be this wrong? I was the man that claimed to see but now I'm not  I am afraid of the good and bad beneath me So give me a sign for the angels on my feet I was a man yeah I swear I was a man So keep me alive for the angels in my feet  'Cause I am a way for a man to rid his skin clean So send me a sign for the ones who need my seed (seat)  And I had a dream I killed our families And you were the one I hoped you blame And I felt a baby in your stomach I knew who he was but he had no name"
angry_all/I'll Do Anything.mp3,Courtney Love,I'Ll Do Anything,"Gimme your tired Gimme your poor, yeah You need to be free, yeah Your hungry huddled masses Screaming me me me Gimme danger Gimme sorrow Gimme heat Gimme grind Gimme, gimme empathy Coming, give it from behind  Woo hoo Throw me up against the wall Woo hoo No baby, do that again Woo hoo No baby, I'll do you cause You, you, you, you do anything  Gimme white boys skinny Gimme big black men Gimme ice cream on my birthday Gimme that again  Gimme love, love, love Oh, give them me, me, me 'Cause I'll do you 'Cause you'll do anything  Gimme dick Gimme speed Gimme white hot heat One day my prince will come but Man, it's just too late  Gimme one match So I can set myself on fire Oh, let 'em eat cake Until they all starve  Gimme one light That pulls down on me so hard Twist it like a miracle And blast them all to shards  Woo hoo Throw me up against the wall Woo hoo No baby, do that again Woo hoo No baby, I'll do you cause You, you, you, you do anything  Gimme white boys skinny Gimme big black men Gimme ice cream on my birthday Gimme that again  Gimme love, love, love Oh, give them me, me, me 'Cause I'll do you 'Cause you'll do anything  Gimme some last solutions Give it to your head Give it to me, come on, baby Gimme a and pray  He's lost the show I've got the power to heal Oh, god or the Devil Just gimme a deal  Gimme love, love, love Oh, give them me, me, me 'Cause I'll do you 'Cause you'll do anything  I'm ready to die for you No, I'm too young to be so old  Don't scratch the car when you go (Woo hoo) (Throw me up against the wall) Don't slam the door when you go (Woo hoo) (No baby, do that again) I'll burn the sheets when you go (Woo hoo) (No baby, I'll do you cause) Just fuckin' go when you go when you go (You, you, you, you do anything) Just fuckin' go"
angry_all/In Hell.mp3,Choking Victim,In Hell,"You may find my appearance and demeanor foolish, but it is you who plays the fool. For although I am only a student of the victim, I have many, many styles. Try my choking style! HWAH!  --Shaolin Puff'n'Stuff (I have no idea)  Every time you humoured me, You patronized my misery, The yesterday's mean nothing now, They never mattered anyhow!  Oh well in hell, we like it well, We think it's nice, we think it's swell! I've fucked up so many times, The more I think, the more I sink...  Into the drain... Of pain and misery. The sickness of feeling... Will end someday.  Often times I wonder why There's love and hate, there's live or die. When sickness comes I must decide: When feelings go, there's suicide.  Oh well in hell, we like it well, We think it's nice, we think it's swell! We'll drink a cup of kindness yet, In hell we learn but soon forget...  Hell is life. You must admit this is true... But don't take it so serious. It ends so soon.  In hell! Oh well!"
angry_all/Instinct.mp3,Ektomorf,Instinct,"I am who I am Walk on my own way Follow my instinct  I am the target of your jealousy I am the one who you just wanna be Look, look in the mirror, what you see You full of shit why can't you see  I am the target of your anger I am the one who you call danger I am the one who believe in destiny You motherfucker I am your enemy Your worse enemy  I am who I am Walk on my own way Follow my instinct  I am the target of your jealousy I am the one who you just wanna be I am the one who believe in destiny You motherfucker I am your enemy  I am who I am Walk on my own way Follow my instinct  You just wanna be You're full of shit You just wanna be You're fucking envy  You just wanna be"
angry_all/Integration (Insert).mp3,Ice Cube,Integration (Insert) (Explicit,"Malcolm X samples (""Oxford Union Debate (December 3, 1964) ""): ""I'm speaking as a Black man from America... which is a racist society. No matter how much you hear it talk about democracy... It's as racist as South Africa or as racist as Portugal... Or as racist as any other racialist society on this, on this earth. The only difference between it and South-Africa: South-Africa... Preaches separation and practices separation. America preaches integration and practices segregation! This is the ONLY difference. They don't practice what they PREACH! For in South-Africa preaches and practices... the SAME thing. I have more respect for a man, who let me know where he stands... Even if he's wrong. Then one who comes up like an angel and is nothing but a devil.""  Minister Louis Farrakhan, on the Donahue Show 1991: ""I, uhm... I don't agree with him because I don't have to follow anyone to defend myself. I think that, uhm... there are, every people, uhm... All people have been... frustrated in some form from another. But, uhm... I don't agree with him, I don't follow a man, and I don't think anyone should follow one man. I think they should follow their conscience! I think the most of them, most negroes, that they feel sorry for themselves... And I think that this keep some that, uhm... Much more than they would be. If they didn't feel so sorry for themselves.""  Malcolm X samples (""Oxford Union Debate (December 3, 1964) ""): ""If Martin Luther King, Roy Wilkins or any of these uuh... Compromising negroes who say exactly what the white man wants to hear... Is interviewed anywhere in the country, you don't get anybody to offset what they say. But whenever a black man... Stands up and says something that... White people don't like then the first thing that white man does, Is run around and try and find somebody to say something... To, to uuhm... offset... What has just been said! This is NATURAL! But it is done.""  Minister Louis Farrakhan, on the Donahue Show 1991: ""You know what I think? I just think... I think you, you... you givin' up! (givin' up on what?) An ideal of an integrated America, the dream of Martin Luther King, I think you givin' up. This is not, I'm not tryna be a ""Smarterica"", I'm calling you honestly... That I think you givin' up! ""  Minister Louis Farrakhan, on the Donahue Show 1991: ""You know, it's interesting... how... white folk... sit here... Thinking that... I have a reason... to lie to you... As though you are so powerful. And you are so wonderful... And I am so ashamed of my words, that I have to twist and turn, please! You are not dealing... with that kind of man. You're dealing with a man... who means what he says. And says what he means, now listen! "" [beat stops]"
angry_all/Ivy Parker.mp3,Boy Kill Boy,Ivy Parker,"Waking to the same sound This friend of mine This morning it seems to me I'm wasting my time  So this fight has just begun This war she says that I'm scared of, scared of  I try to keep quiet I try to keep quiet I try to keep quiet I try to keep quiet  So this fight has just begun This war they say that I'm scared of, scared of, scared of, scared of  Maybe we could break down From time to time This distance is new to me This pleasure's not mine  So this fight has just begun This war she says that I'm scared of, scared of  I try to keep quiet I try to keep quiet I try to keep quiet I try to keep quiet  So this fight has just begun This war they say that I'm scared of, scared of, scared of, scared of  I try to keep quiet I try to keep quiet I try to keep quiet I try to keep quiet"
angry_all/Jealous.mp3,Faith Evans,Jealous,"Now let me be real with you. About my feelings. The way that I deal with you. I just can't conceal it. I don't really mind all your female friends and all. Just know that I'm pssessive, And aggressive when it comes to you.  I'm so jealous I can't help it I'm not the type who cares to share because I'm selfish. I'm so jealous I can't control it Ain't no need to lie about it 'cause I know it.  Now don't you get it confused 'cause I'm not trippin' and I know thers no substitude For what I'm givin' But all the super friendly extra lovey dovey hugs and greetings Make me feel like you might be out there cheating.  Every now and then I might check you caller I.D. Just to see who's callin' other than me Every other girl I know does the same thing too. But they don't even say that they do Oh.  I'm so jealous I can't help it I'm not the type that cares to share because I'm selfish. I'm so jealous I can't control it Ain't no need to lie about it 'cause I know it.  (I got to be real with you I might check your pager to)"
angry_all/Joe.mp3,P J Harvey,Joe,Joe will you be my buddy please Stay with me when I fall and die Always thought you'd come rushing in Clear the shit out of my eye  Joe will you be my buddy please Lay my enemies out in lines Come in close now I'll wash your feet With my hair I'll mop them dry  With my hair I'll mop them dry Something over there I do not like There's no use to wondering  Joe will you be my buddy please In this hell and day long time When I'm trusting my hated tree Cut me down with your silver knife  Cut me down with your silver knife Something over there I do not like There's no use to wondering
angry_all/Just Friends.mp3,Nine Black Alps,Just Friends,She doesn't know how to relax Doesn't know how to hold back And all I can do is laugh  Maybe I'm too much in love Maybe I don't give a fuck It's never enough  And it's too late I'm never around when your heart breaks Never allowed to make mistakes Now we're no longer just friends  I wanna believe in your heart And I wanted to see you off guard But we're always apart  And now There's nowhere around left to run And there's nothing to do but play dumb So please sing along  And it's too late I'm never around when your heart breaks Never allowed to make mistakes Now we're no longer just friends  Yeah it's too late I'm never around when your heart breaks Never allowed to make mistakes Now we're no longer just friends  Yeah Yeah Yeah
angry_all/Kali-Fornia Uber Alles 21st Century (Live).mp3,Jello Biafra With The Melvins,Kali-Fornia Uber Alles 21st Century,
angry_all/Kamikaze.mp3,PJ Harvey,Kamikaze,"How could that happen? How could that happen again? Where the fuck was I looking When all his horses came in? And he built an army Of kamikaze  Ten thousand willing Pilots flying Interfacing Space and beyond Built an army To come and find me  Beyond all reason Beyond all my hopes The call of duty Another war zone Make me moan, moan  Kamikaze Kamikaze You can't touch me Kamikaze  Eight miles high He walks his path And I follow mine One truth for one eye He's come to find me  Ten thousand willing Pilots flying Interfacing Space and beyond Here is his army Space and here we come  Kamikaze Kamikaze You don't touch me Kamikaze  Kamikaze You don't touch me Kamikaze You don't touch me  Space here we come"
angry_all/Late Night Lullaby.mp3,Bitch Alert,Late Night Lullaby,"When it get's dark in this town It feels like everyone's asleep But you come to me and you ask me out and I say okay now For tonight, tonight is for us  You've got me babe And it feels so good to be on top of you I've got you boy And it feels so good to be on top of you, on top of you  Now I can't feel a thing I am numb, I'm everything you want Whatta joke, I said go, boy you have to be one hundred percent Perfect And tonight, tonight you prove me  You've got me babe And it feels so good to be on top of you I've got you boy And it feels so good to be on top of you, on top of you"
angry_all/Learnt My Lesson Well.mp3,Kaiser Chiefs,Learnt My Lesson Well,"I'm just waiting for The man to come with all my things And I'm just waiting for Another man to take it all  And it's not hard to tell That I learnt my lesson well And I'm just waiting for The man to come and go away  What are you waiting for Get up off your seat It's just seven days Feels like a week  What are you moaning for You got all that you want Your life could be worse You could be a nurse  It seems most sensible For us to keep the purse strings tight And move the decimals A couple of places to the right  And it's not hard to tell That I learnt my lesson well It seems most sensible But not exactly what we'd like  What are you waiting for Get up off your seat It's just seven days Feels like a week  What are you moaning for You got all that you want Your life could be worse You know, we all could be cursed  I can't help feeling like this So don't rearrange it I don't mean to be a dick I just don't like the changes  And I can't help the things I say You know I wouldn't to strangers But I don't like going away Because it puts me in danger  I can tell you now There ain't a problem can't be solved With a good old fashioned row So grit your teeth and stand your ground  And it's not hard to tell That I learnt my lesson well But I'm still waiting for The man to come with all my things  What are you waiting for Get up off your seat It's just seven days Feels like a week  What are you moaning for You got all that you want Your life could be worse You could leave in a hearse"
angry_all/Les And Ray.mp3,Le Tigre,Les And Ray,"Nine years old, And climbing out the house Through a song Played on piano By my neighbors Les and Ray. I put my head Up against the wall To be closer To the music that they played. You were my oxygen, The thing that made me think I could escape. This is a thank you song For Les and Ray. You were my batteries, The thing that made me think I could escape. Here's a song For Les and Here's a song For Les and Ray."
