stem,word
crazi,crazy
rope,rope
pace,pace
caress,caress
kick,kick
error,error
fun,fun
fleet,fleeting
everyon,everyone
pack,pack
grip,grip
pound,pound
readi,ready
mystic,mystic
demon,demons
rip,rip
rio,rio
vow,vow
centuri,century
decay,decay
rid,rid
vanish,vanish
anguish,anguish
chase,chase
wrath,wrath
resurrect,resurrection
starlight,starlight
grant,granted
belong,belong
butcher,butcher
funni,funny
basta,basta
grand,grand
ray,ray
boom,boom
higher,higher
pray,pray
appreci,appreciate
tower,tower
itch,itch
mountain,mountain
camera,camera
defeat,defeat
se,se
moment,moment
seren,serenity
extrem,extreme
mot,mots
weird,weird
lower,lower
older,older
primavera,primavera
spent,spent
person,person
cheer,cheer
chees,cheese
elev,elevator
f,f
revolv,revolver
tast,taste
spend,spend
howl,howling
mon,mon
coup,coup
chord,chords
burden,burden
blur,blur
claro,claro
obscur,obscure
shape,shape
world,world
unto,unto
wage,wage
cut,cut
cup,cup
calor,calor
arriba,arriba
grin,grin
snap,snap
cum,cum
hater,haters
bin,bin
march,march
maria,maria
bid,bid
almighti,almighty
game,game
quest,quest
warmth,warmth
bit,bit
awaken,awaken
paint,paint
vino,vino
knock,knock
spine,spine
confront,confront
signal,signal
clay,clay
glove,glove
strife,strife
chorus,chorus
collect,collect
conceiv,conceive
donna,donna
gloom,gloom
sleigh,sleigh
cruis,cruise
foolish,foolish
mighti,mighty
often,often
spring,spring
creation,creation
back,back
understood,understood
palm,palm
loser,loser
sight,sight
mirror,mirror
wonderland,wonderland
curious,curious
surpris,surprise
pale,pale
senseless,senseless
scale,scale
chocol,chocolate
maiden,maiden
pet,pet
ave,ave
shall,shall
per,per
religion,religion
larg,large
undon,undone
kai,kai
anna,anna
either,either
machin,machine
sixteen,sixteen
run,run
ba,ba
rum,rum
rub,rub
word,words
bo,bo
rug,rug
rue,rue
bu,bu
step,step
squeez,squeeze
starri,starry
crap,crap
carol,carol
shine,shine
faith,faith
candl,candle
shini,shiny
valentin,valentine
drama,drama
idl,idle
dine,dine
heel,heels
block,block
miracl,miracle
genocid,genocide
real,real
fan,fan
within,within
usual,usually
jimmi,jimmy
chang,change
lesson,lesson
ann,ann
stench,stench
holla,holla
desol,desolate
question,question
submit,submit
feu,feu
suit,suit
forward,forward
qua,qua
mutil,mutilation
ditch,ditch
ascend,ascend
frost,frost
heartach,heartache
cloth,clothes
link,link
translat,translation
atom,atomic
line,line
reel,reel
dull,dull
hush,hush
skull,skull
ut,ut
us,us
ur,ur
um,um
un,un
holler,holler
z,z
bath,bath
v,v
freak,freak
curs,curse
flow,flow
haunt,haunt
repres,represent
scarlet,scarlet
cure,cure
chat,chat
curl,curl
hospit,hospital
prevail,prevail
curtain,curtain
cotton,cotton
rainbow,rainbow
peter,peter
gris,gris
raini,rainy
yang,yang
bear,bear
grind,grind
swirl,swirling
propheci,prophecy
mock,mock
nice,nice
dale,dale
draw,draw
lend,lend
papa,papa
drag,drag
worm,worm
leaf,leaf
tua,tua
desert,desert
mood,mood
ago,ago
lane,lane
land,land
e,e
sore,sore
age,age
oppress,oppression
depth,depths
hah,hah
restor,restore
fresh,fresh
hello,hello
code,code
anda,anda
edg,edge
scratch,scratch
dime,dime
alien,alien
ge,ge
gang,gang
ga,ga
go,go
privat,private
young,young
nose,nose
oclock,o'clock
bum,bum
alto,alto
sens,sense
fatal,fatal
sent,sent
inject,inject
garden,garden
noos,noose
rhyme,rhyme
agua,agua
wave,wave
mous,mouse
spoon,spoon
disast,disaster
shiver,shiver
wipe,wipe
tri,try
magic,magic
wasteland,wasteland
stiff,stiff
fur,fur
button,button
eve,eve
race,race
iba,iba
stomp,stomp
marri,married
pleas,please
someday,someday
zo,zo
fortun,fortune
natur,nature
bug,bug
vela,vela
jump,jump
crook,crooked
annihil,annihilation
video,video
plead,plead
acid,acid
odd,odds
click,click
folk,folks
compar,compare
wore,wore
slight,slightly
moan,moan
cell,cell
rotten,rotten
playa,playa
plug,plug
bird,bird
involv,involved
vibrat,vibration
led,led
chose,chose
despit,despite
sexi,sexy
whoo,whoo
punch,punch
swim,swim
quell,qu'elle
let,let
sink,sink
sing,sing
sind,sind
palac,palace
fifteen,fifteen
sinc,since
great,great
northern,northern
dell,delle
chant,chant
gent,gente
vacat,vacation
host,host
chao,chaos
earli,early
opinion,opinion
climb,climb
honor,honor
chanc,chance
control,control
danger,danger
shake,shake
win,win
foundat,foundation
volt,volte
wit,wit
blah,blah
wir,wir
motor,motor
cloud,clouds
use,used
che,che
chi,chi
doubl,double
flat,flat
next,next
dynamit,dynamite
doubt,doubt
toy,toy
clutch,clutch
sort,sort
dash,dash
clever,clever
babe,babe
porch,porch
babi,baby
memoria,memoria
fiend,fiend
impress,impress
stone,stone
trail,trail
train,train
gambl,gamble
harvest,harvest
wretch,wretched
ace,ace
spi,spy
plan,plan
ride,ride
critic,critical
pour,pour
roar,roar
unreal,unreal
obvious,obvious
thin,thin
island,island
shook,shook
meet,meet
coffin,coffin
aliv,alive
sabe,sabes
masquerad,masquerade
od,od
tap,tap
bent,bent
pawn,pawn
plate,plate
process,process
lock,locked
weet,weet
rode,rode
loco,loco
high,high
tag,tag
bene,bene
taa,taas
slip,slip
tal,tal
tan,tan
martyr,martyr
skirt,skirt
crimin,criminal
rape,rape
lamb,lamb
surfac,surface
sip,sip
sit,sit
six,six
sig,sig
forest,forest
sie,sie
dissolv,dissolve
instead,instead
panic,panic
sin,sin
stock,stock
fare,fare
altar,altar
inhal,inhale
sir,sir
farm,farm
stop,stop
act,act
wrist,wrist
attent,attention
ceil,ceiling
industri,industry
physic,physical
assassin,assassin
bind,bind
lame,lame
robot,robot
element,elements
allow,allow
batter,battered
tunnel,tunnel
thigh,thighs
movi,movie
move,move
galaxi,galaxy
desper,desperate
pine,pine
dial,dial
stride,stride
bunch,bunch
perfect,perfect
outer,outer
till,till
chosen,chosen
lo,lo
lamp,lamp
li,li
decad,decade
bye,bye
filthi,filthy
jukebox,jukebox
dad,dad
dag,dag
crash,crash
sword,sword
dal,dal
dam,dam
dan,dans
spell,spell
dah,dah
cover,cover
flew,flew
mention,mention
snake,snake
dar,dar
front,front
scatter,scattered
surviv,survive
cage,cage
day,day
strive,strive
billi,billy
somewher,somewhere
thrill,thrill
anyth,anything
feast,feast
poetri,poetry
slide,slide
polit,politics
truth,truth
shirt,shirt
beneath,beneath
sil,s'il
skate,skate
unwind,unwind
tot,tot
bump,bump
product,product
consum,consume
static,static
tien,tiene
bay,bay
sexual,sexual
wander,wander
special,special
attend,attend
sentiment,sentimental
bag,bag
defend,defend
venom,venom
mate,mate
distract,distraction
cest,c'est
sever,severed
pledg,pledge
wick,wicked
defens,defense
red,red
obsess,obsession
afford,afford
franc,france
shut,shut
await,awaits
insid,inside
southern,southern
tempo,tempo
templ,temple
york,york
x,x
anyhow,anyhow
molli,molly
bleed,bleed
etern,eternal
river,river
yard,yard
deserv,deserve
lone,lonely
enchant,enchanted
could,could
keep,keep
scari,scary
shred,shreds
outsid,outside
mortal,mortal
jam,jam
scare,scared
south,south
mankind,mankind
frozen,frozen
blown,blown
sack,sack
echo,echo
date,date
bitch,bitch
digniti,dignity
scent,scent
booti,booty
long,long
glisten,glisten
unknown,unknown
habit,habit
tribe,tribe
messag,message
mal,mal
attack,attack
definit,definitely
ruin,ruin
termin,terminal
final,finally
boil,boiling
misunderstood,misunderstood
shell,shell
stomach,stomach
gear,gear
big,big
punish,punishment
shallow,shallow
negro,negro
biggest,biggest
maze,maze
sex,sex
blind,blind
practic,practice
steel,steel
nun,nun
photograph,photograph
ben,ben
rendezv,rendezvous
bother,bother
beg,beg
bed,bed
bee,bee
claim,claim
padr,padre
becom,become
lover,lover
bare,bare
rate,rate
penetr,penetrate
steer,steer
tango,tango
clip,clip
terribl,terrible
journey,journey
crucifi,crucified
corrupt,corruption
sen,sen
throat,throat
loos,loose
yuh,yuh
border,border
q,q
bastard,bastard
mim,mim
mil,mil
min,min
expos,exposed
mig,mig
mix,mix
unawar,unaware
lindo,lindo
truck,truck
mir,mir
singl,single
tonight,tonight
unless,unless
limb,limbs
combat,combat
raindrop,raindrops
salli,sally
discov,discover
presid,president
hound,hound
fragment,fragments
satan,satan
eight,eight
nous,nous
tranc,trance
class,class
landscap,landscape
stare,stare
prove,prove
stereo,stereo
urg,urge
skinni,skinny
gather,gather
sunris,sunrise
deni,deny
luci,lucy
coffe,coffee
wow,wow
fact,fact
bell,bells
affair,affair
entertain,entertain
frighten,frightened
anyway,anyway
brother,brother
bring,bring
passo,passo
empir,empire
bedroom,bedroom
chicken,chicken
leg,legs
duck,duck
junto,junto
ha,ha
noir,noir
tire,tired
illus,illusion
winner,winner
jar,jar
forev,forever
envi,envy
suppos,supposed
fuel,fuel
jag,jag
piano,piano
local,local
hope,hope
meant,meant
satisfact,satisfaction
vill,vill
familiar,familiar
dope,dope
disagre,disagree
ko,ko
fora,fora
beam,beam
bean,beans
rumbl,rumble
redeem,redeemed
increas,increase
lucki,lucky
endless,endless
gray,gray
cha,cha
organ,organ
h,h
possibl,possible
state,state
crow,crow
sha,sha
stuff,stuff
contain,contain
shi,shy
rein,rein
hei,hei
view,view
toe,toes
solo,solo
prais,praise
bucket,bucket
frame,frame
pitch,pitch
apolog,apologize
disgust,disgust
powder,powder
stack,stack
closer,closer
contempl,contemplate
wire,wire
closet,closet
nuclear,nuclear
cruel,cruel
tend,tend
favor,favor
sublim,sublime
proof,proof
destini,destiny
spare,spare
progress,progress
neither,neither
lip,lips
bought,bought
pipe,pipe
merri,merry
amen,amen
joy,joy
sorrow,sorrow
notion,notion
entir,entire
joe,joe
key,key
disconnect,disconnected
precious,precious
souvenir,souvenirs
swift,swift
revers,reverse
drum,drum
weav,weave
joke,joke
la,la
equal,equal
drug,drugs
display,display
doorway,doorway
succeed,succeed
grain,grain
puls,pulse
passag,passage
ami,ami
swallow,swallow
afraid,afraid
glorious,glorious
aye,aye
comment,comment
vent,vent
author,authority
wall,wall
ca,ca
bis,bis
ce,ce
walk,walk
reborn,reborn
solv,solve
laugh,laugh
cousin,cousin
respect,respect
oer,o'er
quit,quite
revolut,revolution
slowli,slowly
tread,tread
quis,quise
maid,maid
hoe,hoes
cent,cent
willi,willie
center,center
gaze,gaze
besid,beside
treat,treat
poet,poet
feather,feather
kitchen,kitchen
cheek,cheek
mike,mike
circus,circus
nickel,nickel
treasur,treasure
presenc,presence
face,face
protect,protect
lass,lass
bull,bull
ador,adore
general,general
present,present
holiday,holiday
comput,computer
plain,plain
harder,harder
defin,define
ar,ar
facil,facile
decept,deception
wild,wild
scene,scene
observ,observe
coz,coz
droit,droit
almost,almost
blood,blood
cultur,culture
morgen,morgen
fruit,fruit
lust,lust
lune,lune
motiv,motivation
thug,thug
partner,partner
clone,clone
whore,whore
halt,halt
tattoo,tattoo
uniti,unity
denial,denial
welcom,welcome
parti,party
headlight,headlights
satisfi,satisfied
cross,cross
handl,handle
cope,cope
auto,auto
underground,underground
easi,easy
cream,cream
womb,womb
ball,ball
slave,slave
dusk,dusk
pein,peine
drink,drink
upon,upon
effect,effect
beast,beast
issu,issue
collid,collide
dust,dust
cigarett,cigarette
nation,nation
judgment,judgment
killer,killer
curv,curve
gutter,gutter
shotgun,shotgun
colour,colour
knowledg,knowledge
well,well
thought,thought
vet,vet
welt,welt
oft,oft
choos,choose
knight,knight
latest,latest
distanc,distance
kiss,kiss
rocket,rocket
less,less
das,das
weekend,weekend
mistaken,mistaken
gun,gun
perdu,perdu
tone,tone
glue,glue
distress,distress
web,web
wee,wee
devast,devastation
fellow,fellow
flee,flee
drunk,drunk
sky,sky
drew,drew
wer,wer
add,add
generat,generation
halo,halo
crack,crack
ley,ley
ought,ought
match,match
fate,fate
admit,admit
piec,piece
five,five
know,know
unseen,unseen
tick,tick
betti,betty
loss,loss
like,like
lost,lost
incred,incredible
corpor,corporate
clown,clown
bark,bark
heed,heed
lose,lose
chick,chick
juic,juice
soft,soft
page,page
candi,candy
shed,shed
matin,matin
thief,thief
hail,hail
hair,hair
daylight,daylight
reviv,revive
proper,proper
home,home
blade,blade
guid,guide
ess,esse
bet,bet
lead,lead
broad,broad
avoid,avoid
lean,lean
thank,thank
chapter,chapter
leap,leap
fountain,fountain
passion,passion
settl,settle
hunger,hunger
behav,behave
nake,naked
leader,leader
trap,trapped
birthday,birthday
obey,obey
worthi,worthy
ident,identity
bathroom,bathroom
slut,slut
parasit,parasite
forgiv,forgive
glori,glory
although,although
instinct,instinct
llama,llama
vengeanc,vengeance
swept,swept
stage,stage
throne,throne
sister,sister
quarter,quarter
rare,rare
linger,linger
justic,justice
freedom,freedom
waist,waist
cleans,cleanse
thirti,thirty
courag,courage
chrome,chrome
fear,fear
swear,swear
sweat,sweat
avenu,avenue
fals,false
tomb,tomb
absolut,absolutely
societi,society
owe,owe
tight,tight
tortur,torture
perman,permanent
automat,automatic
luna,luna
weather,weather
lung,lungs
brush,brush
awhil,awhile
tristeza,tristeza
pussi,pussy
dug,dug
mere,mere
invad,invade
van,van
crave,crave
pictur,picture
spiral,spiral
feat,(feat.
threat,threat
appl,apple
tun,tun
inner,inner
vas,vas
buy,buy
north,north
noel,noel
innoc,innocent
bus,bus
brand,brand
wed,wedding
continu,continue
hi,hi
ho,ho
nut,nuts
whistl,whistle
grate,grateful
eas,ease
ear,ears
eat,eat
wherev,wherever
count,count
selfish,selfish
made,made
wise,wise
temp,temps
seit,seit
whether,whether
wish,wish
j,j
smooth,smooth
flip,flip
troubl,trouble
whoa,whoa
record,record
belov,beloved
limit,limit
hesit,hesitate
beau,beau
cake,cake
problem,problem
duro,duro
pin,pin
whisper,whisper
pie,pie
dura,dura
pig,pig
twist,twist
cap,cap
jenni,jenny
ink,ink
penni,penny
pit,pit
happen,happen
beckon,beckon
groov,groove
boot,boots
cave,cave
book,book
futur,future
sick,sick
behold,behold
reckless,reckless
fiesta,fiesta
junk,junk
repeat,repeat
star,stars
june,june
guardo,guardo
reput,reputation
stab,stab
attempt,attempt
throughout,throughout
basement,basement
veil,veil
humbl,humble
vein,veins
ghost,ghost
jewel,jewels
rule,rules
paranoia,paranoia
fifti,fifty
raven,raven
yell,yell
confess,confess
sincer,sincere
