mxm_tid,a_name,title,mood
1585560,Clawfinger,Point of No Return,1
12884716,Carlene Carter,Judgement Day,4
8858948,Immortal Technique,Peruvian Cocaine,2
9205934,Carole King,Carry Your Load,3
3247836,Meredith Brooks,The Look,0
6378734,Machine Head,Clenching the Fists of Dissent,1
7319588,Nessbeal,Réalité française,4
3965075,Puerto Rican Power,Juguete De Nadie,4
1127038,Shai,Comforter,2
2931668,The Partridge Family,It Sounds Like You're Saying Hello,0
6794276,Beach House,Gila,2
936964,Nick Cave & The Bad Seeds,Deanna,1
12812990,Kris Kristofferson,Smile at Me Again,0
7270004,Tilly and the Wall,Pot Kettle Black,1
2852333,Foghat,Sing About Love,0
7801434,Pyranja,Nie wieder (album version),4
1716212,Runrig,Lighthouse,2
3585019,John Prine,Taking a Walk,3
567889,Total Chaos,Non-Conformist,1
2309701,Ruby,Salt Water Fish,1
9447259,Benito Kamelas,La farola,4
3536755,Rookie of the Year,Daytona In Flames,4
1441992,N.W.A,A Bitch Iz a Bitch,1
1256933,Era,Don't Go Away,2
926197,The Meat Purveyors,Without Love,2
689509,The Doors,Twentieth Century Fox,0
5598310,Alice Peacock,Taught Me Well,3
2853591,Rita Lee,Obrigado não,4
3518895,The Mighty Diamonds,Them Never Love Poor Marcus,2
7203461,Matt Wertz,Counting to 100,2
4233290,Whole Wheat Bread,Miss Perfection,1
5654256,Last Autumn's Dream,If You're The One,3
3121644,Dayglo Abortions,How Low Will You Go?,1
1906680,Billy Bragg,From a Vauxhall Velox,0
8035055,Antony Costa,Shine Your Light,0
559477,Peter Cetera,Even a Fool Can See,3
3722230,The Tears,Imperfection,2
2990456,João Gilberto,Samba da Minha Terra,4
5542111,Celesty,Lord of Mortals,1
5194221,Beautiful Sin,Pechvogel (Unlucky Fellow),1
8213384,Grizzly Bear,I Live With You,2
4988099,Sara Gazarek,All or Nothing at All,2
1586707,Nirvana,On a Plain,0
5179520,Fightstar,Mono,3
3003974,David Ball,"Hasta Luego, My Love",4
898640,Mud,Tiger Feet,0
6701760,Alberta Cross,Low Man,2
683694,Cracker,This Is Cracker Soul,0
8788805,Savage Garden,Santa Monica,2
741998,Syd Barrett,Clowns and Jugglers,0
5654251,Last Autumn's Dream,My Heart Keeps Stalling,1
8792580,Jr. Walker & The All Stars,Way Back Home,3
4861590,The Corrs,Lough Erin Shore,4
1179000,Eric B. & Rakim,Don't Sweat the Technique,4
8929465,Sonata Arctica,Zeroes,1
1323327,The Doobie Brothers,What a Fool Believes,2
895966,Alphaville,Universal Daddy,0
5209532,Bic Runga,Ruby Nights,2
3662124,Desmond Dekker,Pickney Gal,0
2554157,Willie Nelson,Beer Barrel Polka,4
3783483,Leela James,Mistreating Me,3
748821,Tamia,Long Distance Love,0
606398,Anacrusis,Division,1
2164747,The Divorce,Knife and Kids,4
5235704,Niña Pastori,Todavía,4
