f_name,a_name,title,lyrics
happy_all/Duane Joseph.mp3,The Juliana Theory,Duane Joseph,Tell your mom you need a day off So we can play out in the rain We'll catch a ride to the mall Go down to the arcade 'Cause that's where all the cool kids hang  Tell your mom you need a day off 'Cause I don't feel like school today We'll ride our boards down the hill And to the playground Where everything's okay Tell your mom that we'll be home late 'Cause building cabins in the woods is hard work  You always know that I'll be there 'Cause summer time is coming near My closest friend you'll always be You are a home town kid like me  Tell your mom to make us lunch now 'Cause we worked up an appetite G.I. Joes and Karate matches in the backyard Where everything's all right Now I can see that things have changed We've gone our separate ways now And it's not you and me anymore  Why can't it be the way it was Where pain was only plastic guns My closest friend I couldn't see You are a million miles away  And I guess I'll hold my breath There is no harm in hoping for change (3x)  And I guess I'll hold my breath
happy_all/East Easy Rider.mp3,Julian Cope,East Easy Rider,"Well, it's a bruising shattering ride But I cannot deny myself this luxury Well, it's a bruising shattering ride But I cannot deny myself this luxury  East easy rider Easy ride inside of you  Suspension's killing me But I cannot deny myself this luxury Suspension's killing me But I cannot deny myself this luxury  East easy rider Easy ride inside of you Yeah, east easy rider Easy ride inside of you  Shimmer, shimmer, shimmer Take it on  Well, it's a bruising shattering ride But I cannot deny myself this luxury Well, it's a bruising shattering ride But I cannot deny myself this luxury  Oh, east easy rider Easy ride inside of you Oh, east easy rider Easy ride inside of you C'mon now, east easy rider Easy ride inside of you, you, you, you, you Yeah, east easy rider Easy ride inside of you"
happy_all/Edge Of The Earth.mp3,30 Seconds To Mars,Edge Of The Earth,"You know enough to know the way Six billion people just one name (I found) I found tomorrow in today Apocalyptic and insane, my dreams will never change  You wanna be the one in control You wanna be the one who's alive You wanna be the one who gets old It's not a matter of luck, it's just a matter of time  Stand out on the edge of the earth  Stand out on the edge of the earth Dive into the center of fate Walk right in the sight of the gun Look into this new future's face  I know you know enough to say I know you know enough to play the game  You wanna be the one in control You wanna be the one who's alive You wanna be the one who gets old It's not a matter of luck, it's just a matter of time  Stand out on the edge of the earth Dive into the center of fate Walk right in the sight of the gun Look into this new future's face  Stand out on the edge of the earth Dive into the center of fate Walk right in the sight of the gun Look into this new future's face  Stand out on the edge of the earth  Stand out on the edge of the earth Stand out on the edge of the earth (Look into this new future's face) Stand out on the edge of the earth (Stand out on the edge of the earth) Dive into the center of fate (Stand out on the edge of the earth) Walk right in the sight of the gun (Walk into the sight of the gun) Look into this new future's face"
happy_all/Endless Summer.mp3,Scooter,Endless Summer,"Party people! The sky has changed Can you smell the sun? It's time, for the most exciting season! It's time, for summer... an endless summer!  Here we go again!  Alright! Clap your hands! Yes! Rock radical!  Move to the baseline! Move to the baseline! Jump, jump! Move to the baseline! Jump, jump! Move to the baseline! Jump, jump!  Endless summer, endless summer Can you feel it?! Endless summer, endless summer Love is in the air! Endless summer, endless summer Party people! Endless summer, endless summer Ravers!  Come follow me, come follow me, come follow me this sunny day! Come follow me, come follow me, come follow me this sunny day! Come follow me, come follow me, come follow me this sunny day! All the people on the beach start raving this way, yeah! Endless summer, endless summer Can you feel it?! Endless summer, endless summer Love is in the air! Endless summer, endless summer Party people! Endless summer, endless summer Ravers!  Endless summer, endless summer Love is in the air! Endless summer, endless summer Generation of the future! See ya!"
happy_all/Evil Genius.mp3,eleventyseven,Evil Genius,"Out in the hallway I said hello The dance is this Friday, Do you wanna go? Probably not, she promptly replied. But kudos for asking, you're such a nice guy.  Yeah I should've known I'd end up at home Watching my starwars box trilogy. But here is the truth, If she only knew That I've got a secret she'd never believe  Kelly doesn't know that I'm an evil genius With a sidekick dog named grover cleveland. And she'll never know that We can take over the world With cyborg robot squirrels.  Down in the basement I wish she could see The monkeys I've altered, Genetically. And all of my plans to make a home on the moon. It's not quite completed But it's coming soon.  When I fall asleep All I do is dream Of candle lit dates in the laboratory. And when I'm awake, its hard to concentrate On the assembly of my robot army  Kelly doesn't know that I'm an evil genius With a sidekick dog named grover cleveland. And she'll never know that We can take over the world With cyborg robot squirrels.  I worked up the nerve To go to the dance There's no reason I couldn't give it a chance I walked through the door And what should I see But it was kelly starring back at me And she said  I've always wanted to be a mad professor With a bottle nosed dolphin I could name Sylvester If that's the kind of thing your into I'm your girl.  'Cause I've been looking for an evil genius With a sidekick dog named grover cleveland And now that I've found you We can take over the world With cyborg robot squirrels. With cyborg robot squirrels."
happy_all/Expedicion.mp3,Dune,Expedicion,We are on an expedicion... We are on an expedicion (To) find the moon is our mission When you look up to the sky Spread your wings and you can fly You can fly... You can fly... You can fly... You can fly... We are on an expedicion (To) find the moon is our mission When you look up to the sky Spread your wings and you can fly We are on an expedicion (To) find the moon is our mission...
happy_all/Fast Cars.mp3,U2,Fast Cars,"My cell is ringing No ID I need to know who's calling  My garden's overgrown I go out on my belly crawling I got CCTV, pornography, CNBC I got the nightly news To get to know the enemy  All I want is a picture of you All I want is to get right next to you All I want is your face in a locket Picture in my pocket I take a pill to stop it  I know these fast cars Will do me no good  I'm going nowhere Where I am it is a lot of fun They're in the desert to dismantle an atomic bomb I watch them channel hop Check the stocks I'm in detox I want the lot of what you've got If what you've got can make this stop  All I want is a picture of you All I want is to be right next to you All I want is your picture in a locket Your face in my pocket Take a pill to stop it  I know these fast cars Will do me no good  Don't you worry about your mind Don't you worry about your mind Don't you worry about your mind Don't you worry about your mind  You should worry about the day That the pain it goes away You know I miss mine sometimes  There is no fiction That will truly fit the situation I'm documenting every detail Every conversation I'm not used to talking to somebody in their body Look, there's somebody in a body, somebody in a body"
happy_all/Faster Harder Scooter.mp3,Scooter,Fasterharderscooter,"Yeah, request I want everybody as close to the stage as possible! Get that speed! We're going backto the heavyweight jam!  Let's go out for a walk to the other side Get the sound, join the crew and you feel all right No more fiction go back to reality It's the message so listen and you will see No illusion the spirit is what you feel Get the volume tonight you can make it real I explain once again we won't let you down We can't stop going on that's what I pronounce  Faster harder Scooter - we're getting Faster harder Scooter - we're getting Faster harder Scooter - we're getting Faster harder Scooter Yeah!  All right crew, enjoy this track! Yes! Ah!  From Japan and Brazil to the U.S.A. Let me ask you if there is a better way I believe reminiscing the time we had Don't you know we just want you are going mad No bad rumours or charges will make us stop Now the time has come We will reach the top I explain once again we won't let you down We can't stop going on that's what I pronounce  Faster, harder, scooter...  Everybody shout (scooter) Yes (faster, harder, scooter) Come on (faster, harder scooter) One is for human beings (faster, harder, scooter) Yeah  We're getting faster, harder, scooter..."
happy_all/Fly By.mp3,Blue,Fly By,"All dressed up you're good to go Checkin' your style from head to toe A willow deeply scarred Somebody's broken heart That there are some with no home, not a nickel to loan Could it be really me, pretending that they're not alone? With the hot stuff, top stuff, we got stuff, oh  What a night (night), so far (far) Pulling up curb side in your car (your car) What a sight (sight), you'll know (know) 'Cause they got nowhere to go (That's why) I want you to know  System up with the top down Got the city on the lock down Drive by in the low ride Hands high when we fly by  System up with the top down Got the city on the lock down Drive by in the low ride Hands high when we fly by, fly by, fly by, fly by, fly by  As I turn up the collar on my favourite winter coat This wind is blowin' my mind I see the kids in the street with not enough to eat Who am I to be blind, pretending not to see their needs? A summer's disregard, a broken bottle top And a one man's soul, top stuff (yo) we got stuff, oh  What a night (night), so far (far) Pulling up curb side in your car (your car) What a fight (fight), you'll see (see) 'Cause they got no place to be (That's why) I'm starting with me  System up with the top down Got the city on the lock down Drive by in the low ride Hands high when we fly by  System up with the top down Got the city on the lock down Drive by in the slow ride Hands high when we fly by, fly by, fly by, fly by, fly by  I've been a victim of a selfish kind Of love, it's time that I realize Gonna make a difference With his starter cap Show me how to act You've got to not let yourself  What a night, so far Pulling up curb side in your car What a sight, you know 'Cause they got nowhere to go I want you to know  System up with the top down Got the city on the lock down Drive by in the slow ride Hands high when we fly by  System up with the top down (top down) Got the city on the lock down (lock down) Drive by in the slow ride Hands high when we fly by  (I want you to knooooooow) System up with the top down Got the city on the lock down Drive by in the slow ride Hands high when we fly by (we fly by)  System up with the top down Got the city on the lock down Drive by in the slow ride Hands high when we fly by, fly by, fly by, fly by, fly by"
happy_all/Friends.mp3,Scooter,Friends,Scooter... Yeah! We gonna hit you harder! Yeah! Come on! Come on!  Friends!... We'll be friends! We'll be friends... We'll be friends! Friends!... We'll be friends! We'll be friends... We'll be friends! Friends!... We'll be friends! We'll be friends... We'll be friends!  Friends!... We'll be friends! We'll be friends... We'll be friends!  We gonna hit you harder! Yeah! Come on! Come on!  Yeah! Come on! Come on!
happy_all/Generator 2nd Floor.mp3,Freelance Whales,Generator ^ Second Floor,"And I could never tell as a kid What that window door went to Only told to stay away I almost had an accident, age 6 When I found the key in the attic And now the smell of these wood frames Is the only sense I've left So as you pull me from the bed Tell me I look stunning and cadaverous  And since you are my friend I would ask that you lower me down slow And tell the man in the black cloak He doesn't need to trouble his good soul With those Latin conjugations And if it's all the same to them You should tell your gathering friends Please not to purse their faces grim On such a lovely Sunday  Don't fix my smile, life is long enough We will put this flesh into the ground again Don't fix my smile, life is long enough We will put this flesh into the ground again Don't fix my smile, life is long enough We will put this flesh into the ground again Don't fix my smile, life is long enough We will put this flesh into the ground again Don't fix my smile, life is long enough We will put this flesh into the ground again Don't fix my smile, life is long enough We will put this flesh into the ground again"
happy_all/Get Lucky.mp3,Dragonette,Get Lucky,"Sometimes the sun shines on us Sometimes the rain goes and a rainbow's all that's left We got lucky, hey, didn't we, baby?  'Cause I like your head on my shoulder I like the way you smile, the way you smile oh oh We both think the weather's getting better So let's get lucky, let's go all the way  I found you seaside in the fog I hadn't tried a lot of looking for anything at all The cloud cover of fog All the hearts I'm gonna' love in the morning  And I like my head on your shoulder I like the way you smile, the way you smile oh oh And we both think the weather's getting better So let's get lucky, let's go all the way  All the way, get lucky The weatherman says it's wet and cloudy Stay indoors, sit out the storm It looks like this might be a quickie  Hey handsome, we got it good Hey mister, we gone and done it Just because we could Because it's cloudy out there Staying in like we should  'Cause I like your head on my shoulder Me I like the way you smile, the way you smile oh oh And we both know the weather will get better So let's get lucky, let's go all the way Let's get lucky, come on, go all the way"
happy_all/Going Nowhere.mp3,Cut Copy,Going Nowhere,I can't think straight Help me now before it's too late Now what do I care? 'Cause we're going nowhere Going nowhere Going nowhere Going nowhere I can go there I can go there  I can't think straight Help me now before it's too late Now what do I care? 'Cause we're going nowhere Going nowhere Going nowhere Going nowhere Help me!  Going nowhere Going nowhere Going nowhere I can go there I can go there I can go there
happy_all/Good Day.mp3,Greg Street,Good Day,"It's Nappy hour, ayo Street, Country Boyz is back It's 6 O' clock, it's time to have a good day  I got up this mornin' and I said I'ma do somethin' For the united streets of America So I got Nappy Roots in here, I got Big Al 36 in here This is Greg Street certified and today Yeah, you're gonna see another street boy playin' piano  We're gonna have, we're gonna have We're gonna have a good day And all my homies gonna ride today And all these mommies look fly today And all we wanna do is get by today  Hey, we're gonna have a good day And ain't nobody gotta cry today 'Cause ain't nobody gonna die today You can save that trouble for another day Hey, we're gonna have a good day  Hairline fresh, new cologne on Feelin' so good, change the color to my phone Orange Kool-Aid go good with Patron Oh no, hell no, boy is still my ring tone  Free car wash, had to clean up my Dodge Give back when I can just playin' my part Church folks had a fish fry mustard hot sauce Light bread French fry, love for the big guy  Hit the park blowin', showin' off they hops Nappy roots on the radio and you know it hot Last night it hit the big three Bought some air force one's four tall tee's Man, I'm lovin' BG  We're gonna have, we're gonna have We're gonna have a good day And all my homies gonna ride today And all these mommies look fly today And all we wanna do is get by today  Hey, we're gonna have a good day And ain't nobody gotta cry today 'Cause ain't nobody gonna die today You can save that trouble for another day Hey, we're gonna have a good day  And I ain't really worried 'bout what nobody say 'Cause I'm still above ground and that's a reason to pray Got my car cleaned up now I'm ready to play Make a call to the sticks say I'm headin' that way  Heard my cousin cookin' out got to get me a plate Got this new outfit ain't even out in the states So if I ain't speakin' to soon it's a hell of a day And this stinky got me sittin' in a hell of a play  Got my stunna shades on and a grin on my face New grill looks mean but I swear I'm straight And the hood showin' love so I'm a okay  We're gonna have, we're gonna have We're gonna have a good day And all my homies gonna ride today And all these mommies look fly today And all we wanna do is get by today  Hey, we're gonna have a good day And ain't nobody gotta cry today 'Cause ain't nobody gonna die today You can save that trouble for another day Hey, we're gonna have a good day  Yo, we might as well do exactly what the children say Take the day off, hit the park and just hang Barbeque, roll a few and put up the deuce And if it's beef put the peace down and throw up the dukes  It's time to change our ways so we can say today For the children sake and make a better place to play If it's all good, you got your group and grip your wood And if you're ridin' dirty just light the flip and blow ya  But do it real big exactly like a playa should Enjoy your 24, do ya thing and rep ya hood The world is all yours, but still we all grind forever And a day the choice you make is really all fine  We're gonna have, we're gonna have We're gonna have a good day And all my homies gonna ride today And all these mommies look fly today And all we wanna do is get by today  Hey, we're gonna have a good day And ain't nobody gotta cry today 'Cause ain't nobody gonna die today You can save that trouble for another day  Hey, we're gonna have a good day And all my homies gonna ride today And all these mommies look fly today And all we wanna do is get by today  Hey, we're gonna have a good day And ain't nobody gotta cry today 'Cause ain't nobody gonna die today You can save that trouble for another day Hey, we're gonna have a good day"
happy_all/Grace Kelly.mp3,MIKA,Grace Kelly,"(I wanna talk to you.) (The last time we talked, Mr. Smith, you reduced me to tears. I promise you it won't happen again.)  Do I attract you? Do I repulse you with my queasy smile? Am I too dirty? Am I too flirty? Do I like what you like?  I could be wholesome I could be loathsome Guess I'm a little bit shy Why don't you like me? Why don't you like me without making me try?  I tried to be like Grace Kelly But all her looks were too sad So I tried a little Freddie I've gone identity mad!  I could be brown I could be blue I could be violet sky I could be hurtful I could be purple I could be anything you like Gotta be green Gotta be mean Gotta be everything more Why don't you like me? Why don't you like me? Why don't you walk out the door?  (Getting angry doesn't solve anything.)  How can I help you? How can I help it? How can I help what you think? Hello, my baby Hello, my baby Putting my life on the brink  Why don't you like me? Why don't you like me? Why don't you like yourself? Should I bend over? Should I look older just to be put on your shelf?  I tried to be like Grace Kelly But all her looks were too sad So I tried a little Freddie I've gone identity mad!  I could be brown I could be blue I could be violet sky I could be hurtful I could be purple I could be anything you like Gotta be green Gotta be mean Gotta be everything more Why don't you like me? Why don't you like me? Walk out the door  Say what you want to satisfy yourself, hey! But you only want what everybody else says you should want You want  I could be brown I could be blue I could be violet sky I could be hurtful I could be purple I could be anything you like Gotta be green Gotta be mean Gotta be everything more Why don't you like me? Why don't you like me? Walk out the door  I could be brown I could be blue I could be violet sky I could be hurtful I could be purple I could be anything you like Gotta be green Gotta be mean Gotta be everything more Why don't you like me? Why don't you like me? Walk out the door  (Humphrey. We're leaving.) (Ka-ching!)"
happy_all/Happy Birthday Girl.mp3,Sondre Lerche,Happy Birthday Girl,"Looking for something to pass on through Searching for something to say to you Even though everything has been said Somehow there's still something left to add  And while the satellite's asleep Somewhere it's midnight out there And while I'm barking at the moon You sing your heart out to a tune Hoping you'll never grow old Hoping you'll never grow old  I know it may take some time To get this day off your mind  Sifting through all the remaining files Counting down all the remaining miles Drifting off into a different night Paralyzed by all the warning lights  Waking the patient satellites Sleepy benevolent eyes Heavily drunk on distant love They never once misplaced a call I hope they never grow old  I know it may take some time To get this day off your mind I know it may take some time To get this day off your mind  Happy Birthday girl, I miss you Happy Birthday girl, I miss you Happy Birthday girl, I miss you Happy Birthday girl, I miss you"
happy_all/Happy Ending.mp3,MIKA,Happy Ending,"This is the way you left me I'm not pretending No hope, no love, no glory No happy ending This is the way that we love Like it's forever Then live the rest of our life But not together  Wake up in the morning, stumble on my life Can't get no love without sacrifice If anything should happen, I guess I wish you well A little bit of heaven but a little bit of hell  This is the hardest story that I've ever told No hope or love or glory Happy ending's gone forever more I feel as if I'm wastin' And I'm wastin' everyday  This is the way you left me I'm not pretending No hope, no love, no glory No happy ending This is the way that we love Like it's forever Then live the rest of our life But not together  Two o'clock in the morning, something's on my mind Can't get no rest, keep walkin' around If I pretend that nothin' ever went wrong I can get to my sleep, I can think that we just carried on  This is the hardest story that I've ever told No hope or love or glory Happy ending's gone forever more I feel as if I'm wastin' And I'm wastin' everyday  This is the way you left me (Oh, I feel as if I'm wastin') I'm not pretending No hope, no love, no glory No happy ending This is the way that we love (And I'm wastin' everyday) Like it's forever Then live the rest of our life But not together  Little bit of love Little bit of love (Little bit of love, little bit of love, little bit of love, little bit of love) (Little bit of love, little bit of love, little bit of love, little bit of love) Little bit of love (Little bit of love, little bit of love, little bit of love, little bit of love) Little bit of love (Little bit of love, little bit of love, little bit of love, little bit of love) Little bit of love, little bit of love, little bit of love, little bit of love (Little bit of love, little bit of love, little bit of love, little bit of love) Little bit of love, love, I feel as if I'm wastin' (Little bit of love, little bit of love, little bit of love, little bit of love) And I'm wastin' everyday, hey, hey, hey (Little bit of love, little bit of love, little bit of love, little bit of love...)  This is the way you left me I'm not pretending No hope, no love, no glory No happy ending This is the way that we love Like it's forever To live the rest of our life But not together  This is the way you left me I'm not pretending No hope, no love, no glory No happy ending This is the way that we love Like it's forever To live the rest of our life But not together  This is the way you left me I'm not pretending No hope, no love, no glory No happy ending"
happy_all/Happy Song.mp3,Otis Redding,The Happy Song,"When I sing this song, y'all Singing it for my baby She's the only one can bring me joy That's why I sing these happy songs  They go, dum, dum, deedle, dee, dum, dum Dum, dum, deedle, dee, dum, dum Dum, dum, deedle, dee, dum, dum Come on, now Happy song Happy song now  On a cold, rainy, windy night She shut all my doors, she cut off the light She hold me and squeeze me tight She tells me, ""Big O, everything's all right""  Then I go, dum, dum, deedle, dee, dum, dum Play it again, dum, dum, deedle, dee, dum, dum Do it again, dum, dum, deedle, dee, dum, dum Come on, now Those happy song Happy, happy songs  Come on  Bring my breakfast to the table When I go to work, she know I'm able Do my job, I come back in You oughta see my baby's face, she just grin, grin, grin  I go, dum, dum, deedle, dee, dum, dum Play it again, dum, dum, deedle, dee, dum Sing them happy songs Lovely, lovely songs Sweet soul song Those good old happy songs It gives you such a feeling A lovely, lovely feeling It makes you wanna shout In fact it knocks you out Happy, happy songs Oh good old lovely songs Those sweet nursery rhyme songs Those good old lovely songs Those sweet soul music songs Those good old, good old songs"
happy_all/Hardcore Vibes.mp3,Dune,Hardcore Vibes,"Hardcore vibes, that I run things Hardcore vibes, that I run things  This one is dedicated to all the ravers in the nation  Hardcore vibes Hardcore vibes Hardcore vibes Hardcore vibes, that I run things...  To all the ravers in the nation To all the ravers in the nation To all the ravers... To all the ravers... To all the ravers in the nation  Hardcore vibes, that I run things Hardcore vibes, that I run things Hardcore vibes, that I run things Hardcore vibes, that I run things Hardcore vibes, that I run things Hardcore vibes, that I run things  To all the ravers in the nation To all the ravers in the nation To all the ravers... To all the ravers... To all the ravers in the nation..."
happy_all/Hats.mp3,Amy Grant,Hats,"Sun comes up Breakfast show Can't you see me runnin' It's crazy don't you know  The moon is high I'm workin' through the night Will somebody tell me Where do all the hours go (I don't know)  Well it don't stop, no it's never gonna stop Why do I have to wear So many things on my head  (Hats) One day I'm a mother One day I'm a lover What am I supposed to do (Hats) Workin' for a livin' All because I'm driven To be the very best for you  The water is hot (so hot) The phone don't stop So how do I manage to hold on to my sanity  (I don't know baby I don't know)  My red dress on Time for havin' fun (time for havin' fun) But can I really be the girl you think you see in me  The spirit is willing  But the flesh is weak Why do I have to wear So many things on my head  (Hats) One day I'm a mother One day I'm a lover What am I supposed to do (Hats) Workin' for a livin' All because I'm driven To be the very best for you (Hats) One day I'm a mother One day I'm a lover What am I supposed to do (Hats) Workin' for a livin' All because I'm driven To be the very best for you  This may be a dream come true This may be poetry in motion This may be a dream come true But when it all comes down It's an awful lot to take  It don't stop, no it's never gonna stop Why do I have to wear Things on my head  (Hats) One day I'm a mother One day I'm a lover What am I supposed to do (Hats) Workin' for a livin' All because I'm driven To be the very best for you (Hats) One day I'm a mother One day I'm a lover What am I supposed to do (Hats) Workin' for a livin' All because I'm driven To be the very best, very best  Nah nah nah What am I supposed to do Workin' for a livin' All because I'm driven To be the very best  It don't stop no it's never gonna stop Why do I have to wear Why do I have to wear  (Hats) One day I'm a mother One day I'm a lover What am I supposed to do (Hats) Workin' for a livin' All because I'm driven To be the very best for you (Fade)"
happy_all/He Touches Me.mp3,Lisa Stansfield,He Touches Me,"He don't bring me anything but love He don't bring me anything but love If you offered me the stars I would decline I don't need 'em I got mine 1 don't know where to start But I know what's in my heart So keep your silver and your gold 'Cause I got my man to have and hold And even if you promise me The wonders of the world It's not enough Not enough  No poetry, no diamond ring No song to sing He don't bring me flowers, oh no But he touches me, he touches me No crazy dreams, no limousines He makes me feel I can do anything And that's power, oh yeah When he touches me, he touches me  I know they'll say I'm crazy letting go Of a man like you Who seems to have it all But they don't see what I see No, they don't feel like me Find even it you promise me The wonders of the world And all that stuff It's not enough  No poetry, no diamond ring No song to sing, no He don't bring me flowers, oh no But he touches me He touches me  He don't bring me anything but love He don't bring me anything but love  No poetry, no diamond ring No song to sing He don't bring me flowers, oh no But he touches me He touches me No crazy dreams, no limousines He makes me feel like a beauty queen And that's power, oh yeah And he touches me He touches me  No poetry, no diamond ring No song to sing He don't bring me flowers. oh yeah 'Cause he touches me, he touches me No crazy dreams, no limousines, babe And that's power, oh yeah When he touches me He touches me  He don't bring me anything but love He don't bring me anything but love"
happy_all/Here I Am.mp3,Bryan Adams,Here I Am(Spirit: Stallion Of,"Here I am, This is me I come to this world so wild and free Here I am, So young and strong Right here in the place where I belong  It's a new world It's a new start It's alive with the beating of a young heart It's a new day, In a new land And it's waiting for me Here I am  Oh  It's a new world, It's a new start It's alive with the beating of a young heart Ya, It's a new day, In a new land And it's waiting for me Here I am  (Instrumental Until End)"
happy_all/Hot Air Balloon.mp3,Owl City,Hot Air Balloon,"We wrote a prelude To our own fairy tale And bought a parachute At a church rummage sale  And with a mean sewing machine And miles of thread We sewed the day above L.A. In navy and red  We wound a race track Through your mom's kitchen chairs And fought the shadows back Down your dark basement stairs  I lit a match, then let it catch To light up the room And then you yelled as we beheld An old maroon hot air balloon  I'll be out of my mind And you'll be out of ideas Pretty soon So let's spend The afternoon in a cold hot air balloon Leave your jacket behind Lean out and touch the treetops over town I can't wait To kiss the ground Wherever we touch back down  La la la la la laaa La la la la la laaa  We drank the Great Lakes Like cold lemonade And both got stomach aches Sprawled out in the shade  So bored to death you held your breath And I tried not to yawn You made my frown turn upside down And now my worries are gone  I'll be out of my mind And you'll be out of ideas Pretty soon So let's spend The afternoon in a cold hot air balloon Leave your jacket behind Lean out and touch the treetops over town I can't wait To kiss the ground Wherever we touch back down  I'll be out of my mind And you'll be out of ideas Pretty soon So let's spend The afternoon in a cold hot air balloon Leave your jacket behind Lean out and touch the treetops over town I can't wait To kiss the ground Wherever we touch back down"
happy_all/Hugging My Grudge.mp3,The Boy Least Likely To,Hugging My Grudge,"I have weapons and battle plans, But in my heart I know I can't ever protect you from Things I don't understand.  And when I hold you in my arms It scares me just to Think that something so beautiful Could just come apart in my hands.  I've always been chasing rainbows Staring out of classroom windows. I don't think I'll ever be happy, Unless I'm unhappy and hugging my grudge.  I was too dumb to settle down, So I packed up and I left town On a sunshine bus Wondering where it all went wrong.  On a flimsy wing and a prayer, I followed my heart everywhere 'Til I ended up Right back where I started from.  I've always been quietly dreaming. I don't know when I've been beaten. I don't think I'll ever be happy, Unless I'm unhappy and hugging my grudge.  I've always been chasing rainbows Staring out of classroom windows. I don't think I'll ever be happy, Unless I'm unhappy and hugging my grudge.  I've always been quietly dreaming. I don't know when I've been beaten. I don't think I'll ever be happy, Unless I'm unhappy and hugging my grudge."
happy_all/I Found U (Radio Edit) (Feat. Max'C).mp3,Axwell ,I Found U ,"Thank God I found you I never really had a love Sent from heaven up above I'm so happy just because Thank God I found you  Everybody wanna know Why I'm walking round with a big smile on my face Hey I'm happy and it shows Hey I'm back and I'm part of a human race 'Cause you know I've been down so long Never thought I'd ever feel this way again And everything was going wrong Till you found me and you made me believe again  I never really had a love (till I found you) Sent from heaven up above (and it's so true) I'm so happy just because (I found you) Damn, I'm happy that I found you I never really had a love (till I found you) Sent from heaven up above (and it's so true) I'm so happy just because (I found you) Yoo-ooh-ooh-oou!  I don't know what you did But what you did you can keep on doing it, yeah I'm so happy, I wanna fly 'Cause your love just keeps on taking me higher Don't you know I've been down so long (down so long) Never thought I'd ever feel this way again And everything was going wrong (going wrong) Till you found me and you made me believe again  I never really had a love (till I found you) Sent from heaven up above (and it's so true) I'm so happy just because (I found you) Damn, I'm happy that I found you I never really had a love (till I found you) Sent from heaven up above (and it's so true) I'm so happy just because (I found you) Yoo-ooh-ooh-oou!  Thank God I found you Thank God I found you Thank God I found you (yes I yes I did) Thank God I found you Thank God I found you Thank God I found you (Thank god I) Thank God I found you Thank God I found you  I never really had a love (till I found you) Sent from heaven up above (and it's so true) I'm so happy just because (I found you) Damn, I'm happy that I found you I never really had a love (till I found you) Sent from heaven up above (and it's so true) I'm so happy just because (I found you) Yoo-ooh-ooh-oou!"
happy_all/I Just Get Caught Out (live Snap).mp3,The Go Betweens,I Just Get Caught Out (live Sn,"She wiped the hair right out of my eyes. Tempted me through with desire. I was trying my best at this stage. To set myself on fire. Then she said hello. I just get caught out. All I get is all day long. On me, and I stand much higher. You can always get what you want. If you're burning enough by fire. Then she said hello. I just get caught out Out again tonight, I'm tired. We need a room but there is no room. Then she said good-bye. I just get caught out. Out again tonight, through these moonlit streets. We need a room But there is no room. Then she came again. I just get caught out."
happy_all/I Surrender To You.mp3,Jeremy Camp,I Surrender To You,"Lord, You live in me You're my best friend You're the King of Kings The beginning and end Now that You have my eyes I see Your Spirit inside of me  All that I am is for You My Savior I live by Your Word And surrender to You Here where I stand in this moment Father My spirit has been renewed I surrender to You  Yeah  You hold the key to my life In Your loving hands Always by my side I offer all that I am So glad I realize You are the truth and the light In my life  All that I am is for You My Savior I live by Your Word And surrender to You Here where I stand in this moment Father My spirit has been renewed I surrender to You  Everything I need I find in You I believe Your promises are true I will lift my burdens up to You Your loving grace will see me through  All that I am is for You My Savior I live by Your Word And surrender to You Here where I stand in this moment Father My spirit has been renewed  All that I am is for You My Savior I live by Your Word And surrender to You Here where I stand in this moment Father My spirit has been renewed My spirit has been renewed  I surrender to You To You To You, yeah  I surrender to You"
happy_all/In Search Of 1988.mp3,Ozma,In Search Of 1988,"Every time I start to remember  I remember I don't want to remember  Warp me back at eighty-eight if only for one day   Turn on Mario and Luigi  Let's sit down put our hands on the Ouija  When it spells out Roisin's name I'll swear it wasn't me   1988 take me back to 1987  I'm in search of days  When times were good and Earth a place in heaven   Now that I jump as high as Luigi  Set me down put my hands on the Ouija  When it spells out your sweet name you'll know that it was me   1988 take me back to 1987  I'm in search of days  When times were good and Earth a place in heaven   1988 take me back to 1987  I'm in search of days  When times were good and Earth a place in heaven Take me back to 1987 Times were good and Earth a place in heaven   I want to make a motion to stop the commotion  I second the motion to stop the commotion  I've got another notion, it's a backwards motion  I've got a notion, back-back-back backwards motion  Oh, yeah  1988 take me back to 1987  I'm in search of days  When times were good and Earth a place in heaven  1988 take me back to 1987  I'm in search of days  When times were good and Earth a place in heaven Take me back to 1987 Times were good and Earth a place in heaven"
happy_all/In The Lowlands.mp3,Crowded house,In The Lowlands,"Oh, Hell, trouble is coming Out here in panic and alarm Black shapes gather in the distance Looks like it won't take long  The first drops land on the window The first sign that there's something wrong Light rain and a head full of thunder Which way, which way  Two days 'til I get to you I'll be late if I ever get through Where I go there'll be no kind welcome Coming down upon me  Time will keep me warm, feel my face Now, the insects swarm in the lowlands (lowlands) Fear will take the place of desire And we will fan the flames on high Try for Heaven's sake  The sky fell underneath a blanket The Sun sank as the miles went by Sit back with your head on the pillow When you remember it makes you cry  Ghost cars on the freeway Like friends that you thought you had One by one, they're disappearing  Time will keep me warm, feel my face Now, the insects swarm in the lowlands (lowlands) Fear will take the place of desire And we will fan the flames on high  From on higher"
